ID,Code,Location,Name
10001,01A,"Afognak Lake, AK",Afognak Lake Airport
10003,03A,"Granite Mountain, AK",Bear Creek Mining Strip
10004,04A,"Lik, AK",Lik Mining Camp
10005,05A,"Little Squaw, AK",Little Squaw Airport
10006,06A,"Kizhuyak, AK",Kizhuyak Bay
10007,07A,"Klawock, AK",Klawock Seaplane Base
10008,08A,"Elizabeth Island, AK",Elizabeth Island Airport
10009,09A,"Homer, AK",Augustin Island
16923,1AK,"Mertarvik, AK",Mertarvik Quarry Road Landing Strip
10010,1B1,"Hudson, NY",Columbia County
16843,1CA,"Rio Vista, CA",Rio Vista Municipal
13750,1FL,"Titusville, FL",Space Florida Launch Landing Facility
11398,1G4,"Peach Springs, AZ",Grand Canyon West
16842,1GA,"Hampton, GA",Atlanta Speedway
10012,1N7,"Blairstown, NJ",Blairstown Airport
14668,1NC,"Roanoke Rapids, NC",Halifax Northampton Regional
16990,1NJ,"Andover, NJ",Aeroflex Andover
16571,1NY,"Penn Yan, NY",Penn Yan Airport
16935,1OH,"Willoughby, OH",Lake County Executive
16959,1PA,"Connellsville, PA",Joseph A Hardy Connellsville
16840,1TN,"Lexington Parsons, TN",Beech River Regional
16853,1TX,"Dumas, TX",Moore County
16951,1VA,"Warrenton, VA",Warrenton Fauquier
16908,1WA,"Deer Park, WA",Deer Park Airport
16982,2AK,"Deerpark, AK",Deer Park
16844,2CA,"Delano, CA",Delano Municipal
16901,2FL,"West Palm Beach, FL",North Palm Beach County Gen Aviation
16848,2GA,"Camilla, GA",Camilla Mitchell County
16934,2NC,"Asheboro, NC",Asheboro Regional
16830,2NY,"Port Washington, NY",Sands Point Seaplane Base
16898,2TN,"Dayton, TN",Mark Anton
16897,2TX,"Brenham, TX",Brenham Municipal
16980,2VA,"Williamsburg, VA",Camp Peary Landing Strip
16983,2WK,"Odessa, WA",Odessa Municipal
16992,3AK,"Tintina, AK",Gold Mining Landing Strip
16907,3CA,"Garberville, CA",Garberville Airport
16875,3GA,"Blakely, GA",Early County
16991,3NC,"Hendersonville, NC",Hendersonville Airport
16831,3NY,"Suffolk, NY",Sebonac
16940,3TN,"Elizabethon, TN",Elizabethton Municipal
16880,3TX,"Lancaster, TX",Lancaster Regional
16994,4AK,"North Pole, AK",Bradley Sky Ranch
16920,4CA,"Davis, CA",University
16914,4CL,"El Mirage, CA",El Mirage Field Adelanto
16913,4GA,"Atlanta, GA",Paulding Memorial Hospital Heliport
16904,4NY,"Millbrook, NY",Johnson Landing Strip
16900,4TX,"Lajitas, TX",Lajitas International
16995,5AK,"Lawing, AK",Lawing Airport
16925,5NY,"Malone, NY",Malone Dufort
16909,5TX,"Edinburg, TX",South Texas International at Edinburg
16429,6B0,"Middlebury, VT",Middlebury State
16955,6NY,"New York, NY",Sag Harbor
16916,6TX,"Leakey, TX",Real County
16567,7AK,"Akun, AK",Akun Airport
16956,7NY,"New York, NY",Shelter Island
16919,7TX,"Graford, TX",Possum Kingdom
10013,8F3,"Crosbyton, TX",Crosbyton Municipal
16957,8NY,"New York, NY",Noyack
