model_number,manufacturer,model,seats
05628NI,BOEING,787-8,260
1380108,BOEING,A75,002
1383700,BOEING,717-200,100
1384404,BOEING,737-7H4,140
138440A,BOEING,737-8H4,140
138440F,BOEING,737-832,189
1384413,BOEING,737-700,149
1384414,BOEING,737-800,189
1384418,BOEING,737-7Q8,149
138447E,BOEING,737-7K9,149
13844BY,BOEING,737-724,149
13844BZ,BOEING,737-824,149
13844C3,BOEING,737-752,149
13844CA,BOEING,737-71Q,149
13844CB,BOEING,737-823,162
13844CF,BOEING,737-832,189
13844CH,BOEING,737-76N,149
13844CN,BOEING,737-790,151
13844CS,BOEING,737-705,149
13844CV,BOEING,737-7L9,149
13844D1,BOEING,737-7V3,149
13844FH,BOEING,737-71B,149
13844FN,BOEING,737-9GPER,191
13844FZ,BOEING,737-8,185
13844JA,BOEING,737-79P,149
13844LA,BOEING,737-79L,149
13844NA,BOEING,737-8FH,149
13844NE,BOEING,737-7CT,149
13844ZQ,BOEING,737-8EH,189
1384502,BOEING,737-7AD,128
1384511,BOEING,737-7BD,149
1384518,BOEING,737-7K5,151
1384526,BOEING,737-990,149
1384527,BOEING,737-890,149
1384540,BOEING,737-73V,149
13845AA,BOEING,737-76Q,149
1384600,BOEING,737-7BK,149
138469A,BOEING,737-9,048
138488H,BOEING,737-900ER,222
138488K,BOEING,737-932ER,222
13848A1,BOEING,737-924,191
13848A3,BOEING,737-924ER,191
13848CE,BOEING,737-990ER,222
1384907,BOEING,757-26D,178
1384908,BOEING,757-231,178
1384930,BOEING,757-324,275
1384931,BOEING,757-33N,275
1384958,BOEING,757-224,178
1384965,BOEING,757-232,178
1384970,BOEING,757-251,178
1384972,BOEING,757-2Q8,178
1384991,BOEING,757-351,275
1385101,BOEING,767-332,330
1385134,BOEING,767-432ER,300
1385187,BOEING,767-3CB,300
1385200,BOEING,767-322,330
1385203,BOEING,767-324,269
1385213,BOEING,777-223,440
1385219,BOEING,777-222,400
1385225,BOEING,777-224,400
1385256,BOEING,777-300ER,552
1385270,BOEING,767-424ER,292
1385324,BOEING,777-323ER,563
1385609,BOEING,787-9,422
1386010,BOEING,787-10,120
1388002,BOEING,787-8,260
1390008,BOMBARDIER INC,CL-600-2B19,055
1390015,BOMBARDIER INC,CL-600-2C10,080
1390016,BOMBARDIER INC,CL-600-2D24,095
1390042,BOMBARDIER INC,DHC-8-402,070
1400010,AIRBUS CANADA LTD PTNRSP,BD-500-1A10,133
1400012,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,133
1400015,AIRBUS CANADA LP,BD-500-1A11,153
3260121,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,080
3260210,EMBRAER,EMB-145,055
3260212,EMBRAER,EMB-145LR,055
3260403,EMBRAER,ERJ 170-100SU,070
3260406,EMBRAER,ERJ 170-100 SE,070
3260408,EMBRAER,ERJ 190-100 IGW,020
326040B,EMBRAER,ERJ 170-100 LR,070
3260410,EMBRAER,ERJ 170-200 LR,088
3260415,EMBRAER S A,ERJ 170-200 LR,088
3260416,EMBRAER,ERJ 170-100 STD,080
326041A,EMBRAER S A,ERJ 170-200 LL,088
3260499,EMPRESA BRASILEIRA DE AERO S A,ERJ 170-100 STD,080
3260979,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LL,070
3260988,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LR,088
3930316,AIRBUS INDUSTRIE,A320-214,182
3930317,AIRBUS INDUSTRIE,A319-131,179
3930320,AIRBUS INDUSTRIE,A320-211,182
3930322,AIRBUS INDUSTRIE,A320-212,182
3930323,AIRBUS INDUSTRIE,A319-112,179
3930326,AIRBUS INDUSTRIE,A320-232,200
3930340,AIRBUS INDUSTRIE,A319-132,179
3930350,AIRBUS INDUSTRIE,A319-114,145
3930370,AIRBUS INDUSTRIE,A321-211,199
3930374,AIRBUS INDUSTRIE,A330-223,379
3930402,AIRBUS INDUSTRIE,A321-231,379
3930910,AIRBUS,A321-271N,222
3930915,AIRBUS,A321-271NX,246
3940001,AIRBUS,A319-131,179
3940002,AIRBUS,A319-114,145
3940004,AIRBUS,A320-232,200
3940005,AIRBUS,A321-211,199
3940006,AIRBUS,A320-214,182
3940009,AIRBUS,A319-112,100
3940010,AIRBUS,A320-212,182
3940015,AIRBUS,A319-132,179
3940018,AIRBUS,A330-243,377
3940025,AIRBUS,A320-211,182
3940028,AIRBUS SAS,A321-213,199
3940030,AIRBUS,A330-323,379
3940031,AIRBUS,A330-223,379
3940032,AIRBUS,A321-231,379
3940034,AIRBUS,A319-115,147
3940045,AIRBUS,A321-253N,222
3940050,AIRBUS,A350-941,442
3940051,AIRBUS,A321-253NX,222
3940070,AIRBUS,A330-302,451
3940098,AIRBUS,A330-941,442
3940305,AIRBUS SAS,A321-211,222
3940307,AIRBUS SAS,A320-271N,190
3940310,AIRBUS SAS,A320-251N,181
3940314,AIRBUS SAS,A330-941,440
3940315,AIRBUS SAS,A350-941,442
3940320,AIRBUS,A320-271N,190
3940325,AIRBUS,A320-251N,190
