tail_number,model_number
N723FR,3940005
N114DU,1400012
N614CZ,3260121
N935JB,3930402
N999JQ,3940032
N124US,3930316
N93305,3260415
N89349,3260410
N87531,13844BZ
N395DZ,3940305
N145DQ,1400010
N91007,1386010
N199DN,1385101
N93003,3940034
N67134,1384958
N855VA,3940006
N7888A,1384413
N959LR,1390016
N54711,13844BY
N841AN,1385609
N17752,13844CA
N192UW,3930370
N8821S,13844FZ
N979AK,138469A
N17753,13844D1
N778XF,3940009
N375JB,3260408
N834JB,3940004
N603FR,3930915
N998NN,1384414
N969WN,1384404
N230HA,3930910
N799UA,1385219
N986SW,1390008
N881BK,1388002
N2846U,1385256
N930DZ,138488H
N495AS,13848CE
N625UX,326041A
N79011,1385225
N271LV,13844CS
N81449,13848A3
N519SY,3260988
N313DU,1400015
N364DX,3940028
N395FR,3940325
N337NB,3930350
N323AS,1384526
N89362,3260979
N79402,13848A1
N333NW,3930320
N872DC,1390015
N374NW,3930322
N371NB,3940002
N352FR,3940310
N399HA,3940018
N399DA,13844CF
N376NW,3940010
N3773D,138440F
N776DE,13844ZQ
N378NW,3940025
N394DL,1385203
N463AA,3940051
N453QX,1390042
N418DX,3940098
N667AW,3930326
N419DX,3940314
N998AT,1383700
N899UA,3940015
N8699A,138440A
N576DZ,3940315
N515DN,3940050
N597AS,1384527
N832AW,3930340
N557NW,1384970
N549AS,13844NA
N7883A,13845AA
N7752B,1384511
N644AS,13844CN
N7842A,1384540
N7887A,13844C3
N7881A,13844NE
N75858,1384930
N78866,1384931
N596NW,1384991
N78060,1385270
N942LL,3260212
N613AE,3260210
N712TW,1384972
N979RP,3260406
N677UA,1385200
N699DL,1384965
N686UA,1385187
N770UW,3930323
N727TW,1384908
N736AT,1385324
N725FR,1380108
N799AN,1385213
N764JD,3260416
N882RW,326040B
N766JM,3260499
N7885A,13844CH
N7879A,138447E
N7841A,13844CV
N7877H,1384418
N7869A,13844JA
N7824A,1384600
N7854B,13844FH
N7880D,1384518
N7889A,13844LA
N798SW,1384502
N997NN,13844CB
N865DN,138488K
N821NW,3940030
N850UA,3930317
N872RW,3260403
N900PC,1384907
N831NW,3940070
N845MH,1385134
N851NW,3930374
N855UA,3940001
N861NW,3940031
N877BF,05628NI
N969NK,3940320
N930VA,3940045
N970NK,3940307
N951DX,13844FN
